ID,a_or_b,age,gender,tinder_frequency,group_chat_frequency,self_initiated_lunch,sus_a,sus_b,gesture_count_a,gesture_count_b,time_a,time_b
MAC112,b,23,male,3,2,4,72.5,60,25,14,38,68
Ya26,a,21,female,2,2,3,95,87.5,13,9,26,20
jd5382,b,21,male,2,3,2,95,85,10,17,21,48
PP732512,a,21,male,5,4,2,95,65,13,6,14,10
D111N,a,23,male,2,3,4,92.5,92.5,13,12,18,34
Sa1010,b,27,female,2,4,2,95,77.5,21,16,31,64
G0S1A,b,23,female,2,3,2,92.5,92.5,13,6,52,42
B00B5,a,21,male,4,2,2,80,92.5,9,6,14,8
M0705A,a,22,female,3,3,2,90,77.5,13,8,15,17
M1109E,b,24,female,2,3,3,95,85,5,6,6,13
LKJCNC,a,21,female,2,2,2,80,92.5,19,7,20,11
OIKLEJ,b,21,male,1,3,2,97.5,87.5,7,8,13,30